start_id,end_id,level,type
1932568315437686798,1932423317601800340,1,reply_to
1932450571694281113,1932423317601800340,1,reply_to
1932644273356210397,1932423317601800340,1,reply_to
1932997468335354016,1932423317601800340,1,reply_to
1932741979273613723,1932423317601800340,1,reply_to
1932428809187557477,1932423317601800340,1,reply_to
1932643313330327690,1932423317601800340,1,reply_to
1932885641949319354,1932423317601800340,1,reply_to
1932587572171087891,1932423317601800340,1,reply_to
1932754194987155577,1932423317601800340,1,reply_to
1932603487134618015,1932423317601800340,1,reply_to
1932603272830787680,1932423317601800340,1,reply_to
1932424256882635033,1932423317601800340,1,reply_to
1932837099050352879,1932423317601800340,1,reply_to
1932738915469082761,1932423317601800340,1,reply_to
1932427389843189970,1932423317601800340,1,reply_to
1933129382496747670,1932423317601800340,1,reply_to
1933183967466778671,1932423317601800340,1,reply_to
1933182015492288799,1932423317601800340,1,reply_to
1933222772139753607,1932423317601800340,1,reply_to
1932744128653373723,ROOT,0,original
1933070438957277519,1932744128653373723,1,reply_to
1933210164196253936,1932744128653373723,1,reply_to
1933008420841693552,1932744128653373723,1,reply_to
1933366407343059063,1932744128653373723,1,reply_to
1932967135187513455,1932744128653373723,1,reply_to
1933332847084925279,1932744128653373723,1,reply_to
1932930749298065532,1932744128653373723,1,reply_to
1932891855986856035,1932744128653373723,1,reply_to
1932961456066003369,1932744128653373723,1,reply_to
1933111010153635926,1932744128653373723,1,reply_to
1933340235758293277,1932744128653373723,1,reply_to
1933276309939237196,1932744128653373723,1,reply_to
1933257397923086640,1932744128653373723,1,reply_to
1932912633558249513,1932744128653373723,1,reply_to
1932966851954327776,1932744128653373723,1,reply_to
1933030020341027035,1932744128653373723,1,reply_to
1933037644034027996,1932744128653373723,1,reply_to
1933352382085410839,1932744128653373723,1,reply_to
1933107715234230335,1932744128653373723,1,reply_to
1933001803379224874,1932744128653373723,1,reply_to
1933067933674320143,1932744128653373723,1,reply_to
1932917967182086533,1932744128653373723,1,reply_to
1933000395791741206,1932744128653373723,1,reply_to
1932997539004866914,1932744128653373723,1,reply_to
1932929835648889004,1932744128653373723,1,reply_to
1933075995156001065,1932744128653373723,1,reply_to
1932943945048392173,1932744128653373723,1,reply_to
1932971377801486714,1932744128653373723,1,reply_to
1933267674571891119,1932744128653373723,1,reply_to
1933299790516981875,1932744128653373723,1,reply_to
1933237208015950235,1932744128653373723,1,reply_to
1933381765097570605,1932744128653373723,1,reply_to
1932949850976624784,1932744128653373723,1,reply_to
1932963112233349165,1932744128653373723,1,reply_to
1933011442657083414,1932744128653373723,1,reply_to
1933361325733765562,1932744128653373723,1,reply_to
1933198624348901794,1932744128653373723,1,reply_to
1933162638764130602,ROOT,0,original
1933163009439883577,1933162638764130602,1,reply_to
1933165147255673221,1933162638764130602,1,reply_to
1933282066059428043,1933162638764130602,1,reply_to
1933163783742267725,1933162638764130602,1,reply_to
1933481963467518214,1933162638764130602,1,reply_to
1933162735048737083,1933162638764130602,1,reply_to
1933172961990803785,1933162638764130602,1,reply_to
1933176329131692272,1933162638764130602,1,reply_to
1933352705973760305,1933162638764130602,1,reply_to
1933427761353314803,1933162638764130602,1,reply_to
1933468766391742915,1933162638764130602,1,reply_to
1933356833613242520,1933162638764130602,1,reply_to
1933191597706862963,1933162638764130602,1,reply_to
1933392585738867083,1933162638764130602,1,reply_to
1933164655502897647,1933162638764130602,1,reply_to
1933428517196476741,1933162638764130602,1,reply_to
1933483977228312824,1933162638764130602,1,reply_to
1933520536988004432,1933162638764130602,1,reply_to
1933480839700009000,1933162638764130602,1,reply_to
1933430659080393031,1933162638764130602,1,reply_to
1933242773672493249,1933162638764130602,1,reply_to
1933510981688369204,1933162638764130602,1,reply_to
1933298003223122138,1933162638764130602,1,reply_to
1933231582153752957,1933162638764130602,1,reply_to
1933497436162699714,1933162638764130602,1,reply_to
